"raw_term","category","group","domain"
"Senegal","West_Africa","Africa","Country"
"Sierra Leone","West_Africa","Africa","Country"
NA,NA,"Asia","Country"
NA,"South_Asia","Asia","Country"
"India","South_Asia","Asia","Country"
"Nepal","South_Asia","Asia","Country"
NA,NA,"Latin_America_and_the_Caribbean","Country"
NA,"Central_America","Latin_America_and_the_Caribbean","Country"
"Nicaragua","Central_America","Latin_America_and_the_Caribbean","Country"
NA,"South_America","Latin_America_and_the_Caribbean","Country"
"Brazil","South_America","Latin_America_and_the_Caribbean","Country"
NA,NA,"Oceania","Country"
NA,"Australia_and_New_Zealand","Oceania","Country"
"Australia","Australia_and_New_Zealand","Oceania","Country"
NA,NA,"Finger Millet","Crop"
NA,NA,"Minor_Millets","Crop"
NA,"Barnyard Millet","Minor_Millets","Crop"
NA,"Fonio","Minor_Millets","Crop"
NA,"Foxtail Millet","Minor_Millets","Crop"
NA,"Kodo Millet","Minor_Millets","Crop"
NA,"Little Millet","Minor_Millets","Crop"
NA,NA,"Pearl Millet","Crop"
NA,NA,"Sorghum","Crop"
NA,NA,"Experimental","Method"
NA,"Food Basket Simulation","Experimental","Method"
NA,"Functional Quality Test","Experimental","Method"
NA,"Germplasm Collection","Experimental","Method"
NA,"Sensory Evaluation","Experimental","Method"
NA,NA,"Market_Based","Method"
NA,"Market Analysis","Market_Based","Method"
NA,NA,"Not reported","Method"
NA,NA,"Other","Method"
NA,NA,"Participatory","Method"
NA,"Mother-Baby Trial","Participatory","Method"
NA,"Participatory Observation_Appraisal","Participatory","Method"
NA,"Participatory Varietal Selection","Participatory","Method"
NA,NA,"Qualitative","Method"
NA,"Case study","Qualitative","Method"
NA,"Focus Group","Qualitative","Method"
NA,"Interview","Qualitative","Method"
NA,"Stakeholder Consultation","Qualitative","Method"
NA,NA,"Quantitative","Method"
NA,"Check-All-That-Apply","Quantitative","Method"
NA,"Questionnaire","Quantitative","Method"
NA,"Ranking","Quantitative","Method"
NA,"Survey","Quantitative","Method"
NA,NA,"Book","PublicationType"
NA,NA,"Case study","PublicationType"
NA,NA,"Conference proceedings","PublicationType"
NA,NA,"Dissertation_Thesis","PublicationType"
NA,NA,"Newsletter","PublicationType"
NA,NA,"Poster","PublicationType"
NA,NA,"Report","PublicationType"
NA,NA,"Research article","PublicationType"
NA,NA,"Working paper","PublicationType"
NA,NA,"Free","Software"
NA,"Open_Source","Free","Software"
"GRETL","Open_Source","Free","Software"
"R","Open_Source","Free","Software"
"VBS","Open_Source","Free","Software"
NA,"Proprietary","Free","Software"
"PLABSTAT","Proprietary","Free","Software"
NA,NA,"Not reported","Software"
NA,NA,"Paid_proprietary","Software"
NA,"Excel_XLSTAT","Paid_proprietary","Software"
NA,"GenStat","Paid_proprietary","Software"
NA,"MINITAB","Paid_proprietary","Software"
NA,"NLOGIT","Paid_proprietary","Software"
NA,"NTSYS","Paid_proprietary","Software"
NA,"QDA_MaxQDA","Paid_proprietary","Software"
NA,"S-PLUS","Paid_proprietary","Software"
NA,"SAS","Paid_proprietary","Software"
NA,"Sphinx","Paid_proprietary","Software"
NA,"SPSS","Paid_proprietary","Software"
NA,"Stata","Paid_proprietary","Software"
NA,"Statgraphics","Paid_proprietary","Software"
NA,"WinStat","Paid_proprietary","Software"
NA,NA,"Composition_Nutrition","TraitGroup"
NA,"carbohydrate content","Composition_Nutrition","TraitGroup"
NA,"Digestibility","Composition_Nutrition","TraitGroup"
NA,"Fiber","Composition_Nutrition","TraitGroup"
NA,"Iron","Composition_Nutrition","TraitGroup"
NA,"moisture","Composition_Nutrition","TraitGroup"
NA,"phenolic compounds","Composition_Nutrition","TraitGroup"
