"sub_term","raw_term","category","group","domain"
"Angola","Southern_Africa","Africa_South_of_Sahara","Africa","Country"
"Botswana","Southern_Africa","Africa_South_of_Sahara","Africa","Country"
"Eswatini","Southern_Africa","Africa_South_of_Sahara","Africa","Country"
"Lesotho","Southern_Africa","Africa_South_of_Sahara","Africa","Country"
"Mozambique","Southern_Africa","Africa_South_of_Sahara","Africa","Country"
"Namibia","Southern_Africa","Africa_South_of_Sahara","Africa","Country"
"South Africa","Southern_Africa","Africa_South_of_Sahara","Africa","Country"
"Swaziland","Southern_Africa","Africa_South_of_Sahara","Africa","Country"
"Zambia","Southern_Africa","Africa_South_of_Sahara","Africa","Country"
"Zimbabwe","Southern_Africa","Africa_South_of_Sahara","Africa","Country"
NA,"West_Africa","Africa_South_of_Sahara","Africa","Country"
"Benin","West_Africa","Africa_South_of_Sahara","Africa","Country"
"Burkina Faso","West_Africa","Africa_South_of_Sahara","Africa","Country"
"Côte d'Ivoire","West_Africa","Africa_South_of_Sahara","Africa","Country"
"Ghana","West_Africa","Africa_South_of_Sahara","Africa","Country"
"Guinea","West_Africa","Africa_South_of_Sahara","Africa","Country"
"Mali","West_Africa","Africa_South_of_Sahara","Africa","Country"
"Niger","West_Africa","Africa_South_of_Sahara","Africa","Country"
"Nigeria","West_Africa","Africa_South_of_Sahara","Africa","Country"
"Senegal","West_Africa","Africa_South_of_Sahara","Africa","Country"
"Sierra Leone","West_Africa","Africa_South_of_Sahara","Africa","Country"
NA,NA,"North_Africa","Africa","Country"
NA,"Sudan","North_Africa","Africa","Country"
NA,NA,NA,"Americas","Country"
NA,NA,"Latin_America_and_the_Caribbean","Americas","Country"
NA,"Central_America","Latin_America_and_the_Caribbean","Americas","Country"
"Nicaragua","Central_America","Latin_America_and_the_Caribbean","Americas","Country"
NA,"South_America","Latin_America_and_the_Caribbean","Americas","Country"
"Brazil","South_America","Latin_America_and_the_Caribbean","Americas","Country"
NA,NA,NA,"Asia_and_the_Pacific","Country"
NA,NA,"Asia","Asia_and_the_Pacific","Country"
