"StudyID","VCs","Traits","Crops","Country_std","Analysis_std","Software_std","Analysis_category","Analysis_group","Software_category","Software_group","Country_category","Country_group"
1778,"Consumer; Chef/brewer/home cook","Micronutrients; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Fonio","Mali","Descriptive Statistics","VBS",NA,NA,"Open_Source","Free","West_Africa","Africa"
1489,"Consumer","Starch, protein, tannins, fiber, and/or fat; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Brazil","Cochran's q","R","Hypothesis_Testing","statistical inference","Open_Source","Free","South_America","Latin_America_and_the_Caribbean"
1489,"Consumer","Starch, protein, tannins, fiber, and/or fat; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Brazil","Pearson Correlation","R","Correlation_Association","statistical inference","Open_Source","Free","South_America","Latin_America_and_the_Caribbean"
1482,"Farmer/grower","Sensory (aroma, taste, appearance, etc.)","Sorghum","South Africa","Cross Tabulation","SPSS","Cross_Tabulation","Descriptive_Statistics","SPSS","Paid_proprietary","Southern_Africa","Africa"
1411,"Farmer/grower","Color; Sensory (aroma, taste, appearance, etc.); Milling/processing quality","Sorghum","Kenya","Least Significant Difference","SAS",NA,NA,"SAS","Paid_proprietary","East_Africa","Africa"
1387,"Farmer/grower","Color","Sorghum","Sierra Leone","Statistical analysis","SPSS",NA,NA,"SPSS","Paid_proprietary","West_Africa","Africa"
1143,"Farmer/grower","Starch, protein, tannins, fiber, and/or fat; Digestibility; Milling/processing quality; End-use quality (baking, malting, etc.); Storability","Sorghum","Ethiopia","Use Value Index","MINITAB",NA,NA,"MINITAB","Paid_proprietary","East_Africa","Africa"
1143,"Farmer/grower","Starch, protein, tannins, fiber, and/or fat; Digestibility; Milling/processing quality; End-use quality (baking, malting, etc.); Storability","Sorghum","Ethiopia","Diversity Index","MINITAB","Hypothesis_Testing","statistical inference","MINITAB","Paid_proprietary","East_Africa","Africa"
1143,"Farmer/grower","Starch, protein, tannins, fiber, and/or fat; Digestibility; Milling/processing quality; End-use quality (baking, malting, etc.); Storability","Sorghum","Ethiopia","Simpson diversity index","MINITAB",NA,NA,"MINITAB","Paid_proprietary","East_Africa","Africa"
1099,"Farmer/grower; Consumer; Chef/brewer/home cook","Size and shape; Color","Pearl millet","Uganda","Descriptive Statistics","SPSS",NA,NA,"SPSS","Paid_proprietary","East_Africa","Africa"
1060,"Farmer/grower","Size and shape; Color; Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Benin","Diversity Index","SAS","Hypothesis_Testing","statistical inference","SAS","Paid_proprietary","West_Africa","Africa"
1060,"Farmer/grower","Size and shape; Color; Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Benin","Descriptive Statistics","SAS",NA,NA,"SAS","Paid_proprietary","West_Africa","Africa"
1060,"Farmer/grower","Size and shape; Color; Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Benin","rate of varietal loss","SAS",NA,NA,"SAS","Paid_proprietary","West_Africa","Africa"
1060,"Farmer/grower","Size and shape; Color; Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Benin","Dendrogram","SAS",NA,NA,"SAS","Paid_proprietary","West_Africa","Africa"
1060,"Farmer/grower","Size and shape; Color; Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Benin","Pearson Correlation","SAS","Correlation_Association","statistical inference","SAS","Paid_proprietary","West_Africa","Africa"
1057,"Farmer/grower","Color; Sensory (aroma, taste, appearance, etc.); Milling/processing quality","Sorghum","Kenya","Mixed Model","SAS","Regression_Predictive_Modeling","statistical inference","SAS","Paid_proprietary","East_Africa","Africa"
1057,"Farmer/grower","Color; Sensory (aroma, taste, appearance, etc.); Milling/processing quality","Sorghum","Kenya","Least Significant Difference","SAS",NA,NA,"SAS","Paid_proprietary","East_Africa","Africa"
1045,"Consumer","Size and shape; Starch, protein, tannins, fiber, and/or fat; Color; Hardness; Sensory (aroma, taste, appearance, etc.)","Sorghum","Niger","Least Significant Difference","SAS",NA,NA,"SAS","Paid_proprietary","West_Africa","Africa"
973,"Farmer/grower","Size and shape; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.)","Finger millet","Ethiopia","Descriptive Statistics","R",NA,NA,"Open_Source","Free","East_Africa","Africa"
973,"Farmer/grower","Size and shape; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.)","Finger millet","Ethiopia","Descriptive Statistics","SPSS",NA,NA,"SPSS","Paid_proprietary","East_Africa","Africa"
973,"Farmer/grower","Size and shape; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.)","Finger millet","Ethiopia","cost-benefit ratios","R","Cost-benefit_ratios","Economic_Analysis","Open_Source","Free","East_Africa","Africa"
973,"Farmer/grower","Size and shape; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.)","Finger millet","Ethiopia","cost-benefit ratios","SPSS","Cost-benefit_ratios","Economic_Analysis","SPSS","Paid_proprietary","East_Africa","Africa"
944,"Farmer/grower; Consumer","Size and shape; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Finger millet","Uganda","Descriptive Statistics","SPSS",NA,NA,"SPSS","Paid_proprietary","East_Africa","Africa"
944,"Farmer/grower; Consumer","Size and shape; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Finger millet","Uganda","Descriptive Statistics","Stata",NA,NA,"Stata","Paid_proprietary","East_Africa","Africa"
881,"Farmer/grower","Color; End-use quality (baking, malting, etc.)","Sorghum","Ethiopia","Stability analysis","SAS","Stability Analysis","Multivariate_Analysis","SAS","Paid_proprietary","East_Africa","Africa"
881,"Farmer/grower","Color; End-use quality (baking, malting, etc.)","Sorghum","Ethiopia","Stability analysis","GenStat","Stability Analysis","Multivariate_Analysis","GenStat","Paid_proprietary","East_Africa","Africa"
867,"Farmer/grower","Size and shape; Color; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.)","Finger millet","Uganda","Descriptive Statistics","SPSS",NA,NA,"SPSS","Paid_proprietary","East_Africa","Africa"
828,"Farmer/grower","Size and shape; Hardness; Grain morphology (e.g. pericarp thickness)","Sorghum","Burkina Faso","restricted maximum likelihood estimation","GenStat",NA,NA,"GenStat","Paid_proprietary","West_Africa","Africa"
828,"Farmer/grower","Size and shape; Hardness; Grain morphology (e.g. pericarp thickness)","Sorghum","Burkina Faso","G x E","GenStat",NA,NA,"GenStat","Paid_proprietary","West_Africa","Africa"
812,"Consumer","Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Pearl millet","Niger","Random Utility ","S-PLUS","Regression_Predictive_Modeling","statistical inference","S-PLUS","Paid_proprietary","West_Africa","Africa"
812,"Consumer","Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Pearl millet","Niger","categorical classification trees","S-PLUS",NA,NA,"S-PLUS","Paid_proprietary","West_Africa","Africa"
810,"Farmer/grower","Size and shape; Color; Hardness; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; Storability","Sorghum; Pearl millet","Nigeria","Genstat Discovery Edition (individual-location analyses; combined analyses across locations/years where consistent)","GenStat",NA,NA,"GenStat","Paid_proprietary","West_Africa","Africa"
805,"Farmer/grower","Color; Other: Water-holding capacity","Sorghum","Ethiopia","weighted ranking matrix table","SPSS",NA,NA,"SPSS","Paid_proprietary","East_Africa","Africa"
805,"Farmer/grower","Color; Other: Water-holding capacity","Sorghum","Ethiopia","partial budgeting","SPSS","Partial_budgeting","Economic_Analysis","SPSS","Paid_proprietary","East_Africa","Africa"
805,"Farmer/grower","Color; Other: Water-holding capacity","Sorghum","Ethiopia","dominance analysis","SPSS","Rank_choice","statistical inference","SPSS","Paid_proprietary","East_Africa","Africa"
774,"Farmer/grower; Processor/miller","Color; Hardness; Grain morphology (e.g. pericarp thickness); Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Mali",NA,"R",NA,NA,"Open_Source","Free","West_Africa","Africa"
774,"Farmer/grower; Processor/miller","Color; Hardness; Grain morphology (e.g. pericarp thickness); Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Mali",NA,"SPSS",NA,NA,"SPSS","Paid_proprietary","West_Africa","Africa"
772,"Farmer/grower","Size and shape; Micronutrients; Color","Pearl millet","Ghana","Statistical inferences","SPSS",NA,NA,"SPSS","Paid_proprietary","West_Africa","Africa"
765,"Farmer/grower; Consumer","Size and shape; Color; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.)","Pearl millet","Malawi","Multi locational analysis","SAS",NA,NA,"SAS","Paid_proprietary","East_Africa","Africa"
745,"Consumer","Size and shape; Micronutrients; Color; Sensory (aroma, taste, appearance, etc.)","Foxtail millet; Little millet","India","Descriptive Statistics","GRETL",NA,NA,"Open_Source","Free","South_Asia","Asia"
732,"Farmer/grower","Color","Sorghum","Zimbabwe","G x E","R",NA,NA,"Open_Source","Free","Southern_Africa","Africa"
732,"Farmer/grower","Color","Sorghum","Zimbabwe","G x E","SPSS",NA,NA,"SPSS","Paid_proprietary","Southern_Africa","Africa"
732,"Farmer/grower","Color","Sorghum","Zimbabwe","G x E","GenStat",NA,NA,"GenStat","Paid_proprietary","Southern_Africa","Africa"
724,"Farmer/grower","Size and shape; Color","Sorghum","Senegal","Descriptive Statistics","SPSS",NA,NA,"SPSS","Paid_proprietary","West_Africa","Africa"
645,"Farmer/grower","Size and shape; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Ethiopia","Descriptive Statistics","SPSS",NA,NA,"SPSS","Paid_proprietary","East_Africa","Africa"
645,"Farmer/grower","Size and shape; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Ethiopia","Qualitative/Thematic Analysis","SPSS","Classification_clustering","statistical inference","SPSS","Paid_proprietary","East_Africa","Africa"
645,"Farmer/grower","Size and shape; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Ethiopia","rank-based quotient","SPSS",NA,NA,"SPSS","Paid_proprietary","East_Africa","Africa"
567,"Farmer/grower","Size and shape; End-use quality (baking, malting, etc.)","Sorghum","Ethiopia","Descriptive Statistics","SPSS",NA,NA,"SPSS","Paid_proprietary","East_Africa","Africa"
567,"Farmer/grower","Size and shape; End-use quality (baking, malting, etc.)","Sorghum","Ethiopia","Diversity Index","SPSS","Hypothesis_Testing","statistical inference","SPSS","Paid_proprietary","East_Africa","Africa"
510,"Farmer/grower","Color; Hardness; Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Burkina Faso","year","SAS",NA,NA,"SAS","Paid_proprietary","West_Africa","Africa"
510,"Farmer/grower","Color; Hardness; Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Burkina Faso","year","GenStat",NA,NA,"GenStat","Paid_proprietary","West_Africa","Africa"
510,"Farmer/grower","Color; Hardness; Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Burkina Faso","gender","SAS",NA,NA,"SAS","Paid_proprietary","West_Africa","Africa"
510,"Farmer/grower","Color; Hardness; Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Burkina Faso","gender","GenStat",NA,NA,"GenStat","Paid_proprietary","West_Africa","Africa"
482,"Consumer; Distribution/retailer/trader","Micronutrients","Pearl millet","Nigeria","Qualitative/Thematic Analysis","Stata","Classification_clustering","statistical inference","Stata","Paid_proprietary","West_Africa","Africa"
454,"Farmer/grower","End-use quality (baking, malting, etc.)","Sorghum; Finger millet; Teff","Ethiopia","Descriptive Statistics","SPSS",NA,NA,"SPSS","Paid_proprietary","East_Africa","Africa"
454,"Farmer/grower","End-use quality (baking, malting, etc.)","Sorghum; Finger millet; Teff","Ethiopia","cross-tabulations","SPSS",NA,NA,"SPSS","Paid_proprietary","East_Africa","Africa"
449,"Farmer/grower","End-use quality (baking, malting, etc.)","Sorghum","Ethiopia","Descriptive Statistics","SAS",NA,NA,"SAS","Paid_proprietary","East_Africa","Africa"
449,"Farmer/grower","End-use quality (baking, malting, etc.)","Sorghum","Ethiopia","Descriptive Statistics","SPSS",NA,NA,"SPSS","Paid_proprietary","East_Africa","Africa"
400,"Farmer/grower","Size and shape; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Nigeria","cross-tabulation","SPSS",NA,NA,"SPSS","Paid_proprietary","West_Africa","Africa"
400,"Farmer/grower","Size and shape; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Nigeria","Descriptive Statistics","SPSS",NA,NA,"SPSS","Paid_proprietary","West_Africa","Africa"
400,"Farmer/grower","Size and shape; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Nigeria","Kendall Correlation/Concordance","SPSS","Correlation_Association","statistical inference","SPSS","Paid_proprietary","West_Africa","Africa"
370,"Farmer/grower; Consumer; Processor/miller","Size and shape; Color; Sensory (aroma, taste, appearance, etc.); Milling/processing quality","Fonio","Guinea",NA,"R",NA,NA,"Open_Source","Free","West_Africa","Africa"
345,"Farmer/grower","Color; Digestibility; Milling/processing quality; End-use quality (baking, malting, etc.); Storability","Fonio","Benin","Descriptive Statistics","SAS",NA,NA,"SAS","Paid_proprietary","West_Africa","Africa"
345,"Farmer/grower","Color; Digestibility; Milling/processing quality; End-use quality (baking, malting, etc.); Storability","Fonio","Benin","Descriptive Statistics","NTSYS",NA,NA,"NTSYS","Paid_proprietary","West_Africa","Africa"
345,"Farmer/grower","Color; Digestibility; Milling/processing quality; End-use quality (baking, malting, etc.); Storability","Fonio","Benin","Bernoulli variables","SAS",NA,NA,"SAS","Paid_proprietary","West_Africa","Africa"
345,"Farmer/grower","Color; Digestibility; Milling/processing quality; End-use quality (baking, malting, etc.); Storability","Fonio","Benin","Bernoulli variables","NTSYS",NA,NA,"NTSYS","Paid_proprietary","West_Africa","Africa"
293,"Farmer/grower; Consumer","Size and shape; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.); Storability","Sorghum; Pearl millet","Malawi","Qualitative/Thematic Analysis","SPSS","Classification_clustering","statistical inference","SPSS","Paid_proprietary","East_Africa","Africa"
160,"Farmer/grower; Consumer; Processor/miller","Size and shape; Color; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.); Storability","Sorghum","Uganda","Garrett Ranking Test","SPSS","Rank_choice","statistical inference","SPSS","Paid_proprietary","East_Africa","Africa"
4683,"Consumer","Micronutrients; Color; Sensory (aroma, taste, appearance, etc.)","Sorghum","Sudan","Pivot_Table","Excel/XLSTAT","Pivot_Table","Descriptive_Statistics","Excel_XLSTAT","Paid_proprietary","North_Africa","Africa"
4683,"Consumer","Micronutrients; Color; Sensory (aroma, taste, appearance, etc.)","Sorghum","Sudan","Cluster Analysis","Excel/XLSTAT","Classification_clustering","statistical inference","Excel_XLSTAT","Paid_proprietary","North_Africa","Africa"
4683,"Consumer","Micronutrients; Color; Sensory (aroma, taste, appearance, etc.)","Sorghum","Sudan","Principal Component Analysis","Excel/XLSTAT","Dimension_Reduction","Multivariate_Analysis","Excel_XLSTAT","Paid_proprietary","North_Africa","Africa"
2716,"Consumer","Micronutrients; Color; Hardness; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Sudan","ANOVA","Excel/XLSTAT","Hypothesis_Testing","statistical inference","Excel_XLSTAT","Paid_proprietary","North_Africa","Africa"
2716,"Consumer","Micronutrients; Color; Hardness; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Sudan","Tukey's HSD Test","Excel/XLSTAT","Hypothesis_Testing","statistical inference","Excel_XLSTAT","Paid_proprietary","North_Africa","Africa"
2716,"Consumer","Micronutrients; Color; Hardness; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Sudan","Principal Component Analysis","Excel/XLSTAT","Dimension_Reduction","Multivariate_Analysis","Excel_XLSTAT","Paid_proprietary","North_Africa","Africa"
2716,"Consumer","Micronutrients; Color; Hardness; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Sudan","Cluster Analysis","Excel/XLSTAT","Classification_clustering","statistical inference","Excel_XLSTAT","Paid_proprietary","North_Africa","Africa"
2681,"Consumer","Micronutrients; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Sudan","ANOVA","Excel/XLSTAT","Hypothesis_Testing","statistical inference","Excel_XLSTAT","Paid_proprietary","North_Africa","Africa"
2681,"Consumer","Micronutrients; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Sudan","Tukey's HSD Test","Excel/XLSTAT","Hypothesis_Testing","statistical inference","Excel_XLSTAT","Paid_proprietary","North_Africa","Africa"
2681,"Consumer","Micronutrients; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Sudan","Cluster Analysis","Excel/XLSTAT","Classification_clustering","statistical inference","Excel_XLSTAT","Paid_proprietary","North_Africa","Africa"
2681,"Consumer","Micronutrients; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Sudan","Pair-wise rankings","Excel/XLSTAT","Rank_choice","statistical inference","Excel_XLSTAT","Paid_proprietary","North_Africa","Africa"
2681,"Consumer","Micronutrients; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Sudan","Correspondence Analysis","Excel/XLSTAT","Dimension_Reduction","Multivariate_Analysis","Excel_XLSTAT","Paid_proprietary","North_Africa","Africa"
2681,"Consumer","Micronutrients; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Sudan","Principal Coordinates Analysis","Excel/XLSTAT","Dimension_Reduction","Multivariate_Analysis","Excel_XLSTAT","Paid_proprietary","North_Africa","Africa"
1858,"Farmer/grower","Size and shape; Color; Hardness; End-use quality (baking, malting, etc.); Storability","Sorghum","Ethiopia","Frequency","Not reported","Frequency","Descriptive_Statistics",NA,NA,"East_Africa","Africa"
1665,"Farmer/grower; Consumer; Distribution/retailer/trader","Starch, protein, tannins, fiber, and/or fat; Color; Grain morphology (e.g. pericarp thickness)","Sorghum; Pearl millet","India","Regression","Not reported","Regression_Predictive_Modeling","statistical inference",NA,NA,"South_Asia","Asia"
1627,"Farmer/grower","Sensory (aroma, taste, appearance, etc.); Milling/processing quality","Sorghum","Kenya","ANOVA","Not reported","Hypothesis_Testing","statistical inference",NA,NA,"East_Africa","Africa"
1608,"Farmer/grower","Size and shape; Color","Sorghum","Ethiopia","Frequency","Not reported","Frequency","Descriptive_Statistics",NA,NA,"East_Africa","Africa"
1560,"Farmer/grower; Consumer; Processor/miller; Chef/brewer/home cook","Size and shape; Color; Hardness; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Fonio","Mali","ANOVA","Excel/XLSTAT","Hypothesis_Testing","statistical inference","Excel_XLSTAT","Paid_proprietary","West_Africa","Africa"
1300,"Consumer","Color; Grain morphology (e.g. pericarp thickness); Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.); Storability","Sorghum","India","ANOVA","Not reported","Hypothesis_Testing","statistical inference",NA,NA,"South_Asia","Asia"
1249,"Consumer; Chef/brewer/home cook","Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Finger millet","India","Conjoint Analysis","Not reported","Rank_choice","statistical inference",NA,NA,"South_Asia","Asia"
1140,"Farmer/grower; Consumer","Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Botswana","Mean","Not reported","Mean","Descriptive_Statistics",NA,NA,"Southern_Africa","Africa"
1128,"Farmer/grower; Consumer","Size and shape; Sensory (aroma, taste, appearance, etc.)","Pearl millet","India","Frequency","Not reported","Frequency","Descriptive_Statistics",NA,NA,"South_Asia","Asia"
1060,"Farmer/grower","Size and shape; Color; Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Benin","Cluster Analysis","STATISTICA","Classification_clustering","statistical inference",NA,NA,"West_Africa","Africa"
973,"Farmer/grower","Size and shape; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.)","Finger millet","Ethiopia","Chi-Square Analysis","Excel/XLSTAT","Hypothesis_Testing","statistical inference","Excel_XLSTAT","Paid_proprietary","East_Africa","Africa"
973,"Farmer/grower","Size and shape; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.)","Finger millet","Ethiopia","Principal Component Analysis","Excel/XLSTAT","Dimension_Reduction","Multivariate_Analysis","Excel_XLSTAT","Paid_proprietary","East_Africa","Africa"
972,"Farmer/grower","Color","Pearl millet","Côte d'Ivoire","Kruskal-Wallis Test","Not reported","Hypothesis_Testing","statistical inference",NA,NA,"West_Africa","Africa"
972,"Farmer/grower","Color","Pearl millet","Côte d'Ivoire","ANOVA","Not reported","Hypothesis_Testing","statistical inference",NA,NA,"West_Africa","Africa"
949,"Farmer/grower","Color; End-use quality (baking, malting, etc.)","Finger millet","Kenya","Probit Model","Not reported","Regression_Predictive_Modeling","statistical inference",NA,NA,"East_Africa","Africa"
949,"Farmer/grower","Color; End-use quality (baking, malting, etc.)","Finger millet","Kenya","ANOVA","Not reported","Hypothesis_Testing","statistical inference",NA,NA,"East_Africa","Africa"
949,"Farmer/grower","Color; End-use quality (baking, malting, etc.)","Finger millet","Kenya","Regression","Not reported","Regression_Predictive_Modeling","statistical inference",NA,NA,"East_Africa","Africa"
944,"Farmer/grower; Consumer","Size and shape; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Finger millet","Uganda","Chi-Square Analysis","Excel/XLSTAT","Hypothesis_Testing","statistical inference","Excel_XLSTAT","Paid_proprietary","East_Africa","Africa"
944,"Farmer/grower; Consumer","Size and shape; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Finger millet","Uganda","Principal Component Analysis","Excel/XLSTAT","Dimension_Reduction","Multivariate_Analysis","Excel_XLSTAT","Paid_proprietary","East_Africa","Africa"
944,"Farmer/grower; Consumer","Size and shape; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Finger millet","Uganda","t-test","Excel/XLSTAT","Hypothesis_Testing","statistical inference","Excel_XLSTAT","Paid_proprietary","East_Africa","Africa"
944,"Farmer/grower; Consumer","Size and shape; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Finger millet","Uganda","Regression","Excel/XLSTAT","Regression_Predictive_Modeling","statistical inference","Excel_XLSTAT","Paid_proprietary","East_Africa","Africa"
932,"Farmer/grower; Consumer","Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","India","Regression","Not reported","Regression_Predictive_Modeling","statistical inference",NA,NA,"South_Asia","Asia"
932,"Farmer/grower; Consumer","Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","India","F-test","Not reported","Hypothesis_Testing","statistical inference",NA,NA,"South_Asia","Asia"
909,"Farmer/grower; Consumer","Size and shape; Micronutrients; Color","Pearl millet","India","Regression","Not reported","Regression_Predictive_Modeling","statistical inference",NA,NA,"South_Asia","Asia"
909,"Farmer/grower; Consumer","Size and shape; Micronutrients; Color","Pearl millet","India","t-test","Not reported","Hypothesis_Testing","statistical inference",NA,NA,"South_Asia","Asia"
909,"Farmer/grower; Consumer","Size and shape; Micronutrients; Color","Pearl millet","India","Tukey's HSD Test","Not reported","Hypothesis_Testing","statistical inference",NA,NA,"South_Asia","Asia"
850,"Farmer/grower","Size and shape; Color","Sorghum","Nicaragua","Newman-Keuls","Excel/XLSTAT","Hypothesis_Testing","statistical inference","Excel_XLSTAT","Paid_proprietary","Central_America","Latin_America_and_the_Caribbean"
840,"Consumer; Processor/miller; Chef/brewer/home cook","Size and shape; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum; Finger millet","Uganda","ANOVA","Excel/XLSTAT","Hypothesis_Testing","statistical inference","Excel_XLSTAT","Paid_proprietary","East_Africa","Africa"
840,"Consumer; Processor/miller; Chef/brewer/home cook","Size and shape; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum; Finger millet","Uganda","Tukey's HSD Test","Excel/XLSTAT","Hypothesis_Testing","statistical inference","Excel_XLSTAT","Paid_proprietary","East_Africa","Africa"
840,"Consumer; Processor/miller; Chef/brewer/home cook","Size and shape; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum; Finger millet","Uganda","Principal Component Analysis","Excel/XLSTAT","Dimension_Reduction","Multivariate_Analysis","Excel_XLSTAT","Paid_proprietary","East_Africa","Africa"
829,"Farmer/grower; Consumer","Size and shape; Color; Sensory (aroma, taste, appearance, etc.)","Pearl millet","Democratic Republic of the Congo","ANOVA","Not reported","Hypothesis_Testing","statistical inference",NA,NA,"Central_Africa","Africa"
791,"Farmer/grower","Digestibility; Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Ethiopia","Correlation Analysis","Excel/XLSTAT","Correlation_Association","statistical inference","Excel_XLSTAT","Paid_proprietary","East_Africa","Africa"
791,"Farmer/grower","Digestibility; Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Ethiopia","t-test","Excel/XLSTAT","Hypothesis_Testing","statistical inference","Excel_XLSTAT","Paid_proprietary","East_Africa","Africa"
791,"Farmer/grower","Digestibility; Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Ethiopia","Regression","Excel/XLSTAT","Regression_Predictive_Modeling","statistical inference","Excel_XLSTAT","Paid_proprietary","East_Africa","Africa"
785,"Farmer/grower; Consumer","Micronutrients; Color","Pearl millet","India","t-test","Not reported","Hypothesis_Testing","statistical inference",NA,NA,"South_Asia","Asia"
773,"Consumer; Chef/brewer/home cook","Size and shape; Color; Sensory (aroma, taste, appearance, etc.)","Sorghum","Uganda","Logistic Regression","Ngene","Regression_Predictive_Modeling","statistical inference",NA,NA,"East_Africa","Africa"
748,"Farmer/grower","Size and shape; Starch, protein, tannins, fiber, and/or fat; Color; Hardness; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.)","Sorghum","Malawi","ANOVA","Not reported","Hypothesis_Testing","statistical inference",NA,NA,"East_Africa","Africa"
641,"Consumer","Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Brazil","ANOVA","Excel/XLSTAT","Hypothesis_Testing","statistical inference","Excel_XLSTAT","Paid_proprietary","South_America","Latin_America_and_the_Caribbean"
641,"Consumer","Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Brazil","Cluster Analysis","Excel/XLSTAT","Classification_clustering","statistical inference","Excel_XLSTAT","Paid_proprietary","South_America","Latin_America_and_the_Caribbean"
641,"Consumer","Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)","Sorghum","Brazil","t-test","Excel/XLSTAT","Hypothesis_Testing","statistical inference","Excel_XLSTAT","Paid_proprietary","South_America","Latin_America_and_the_Caribbean"
