Covidence #,Study ID,Title,Reviewer Name,DOI,Title,Journal/Publisher,Publication Date,Publication Type,Country,Time of study,Objectives,Location(s),Crop(s) studied,Type of study,How were preferences determined?,List any specific scales or methods named,How was data analyzed?,Was a statistical software used?,Size of study/respondents,Value chain actors included,Grain quality traits included,Varieties listed/mentioned?,End uses mentioned,Detailed preferences discussed in the study:,1 Crop,1 Location,1 VC Actor,1 Trait,1 Preference,1 Disaggregation,1 Statistic,2 Crop,2 Location,2 VC Actor,2 Trait,2 Preference,2 Disaggregation,2 Statistic,3 Crop,3 Location,3 VC Actor,3 Trait,3 Preference,3 Disaggregation,3 Statistic,4 Crop,4 Location,4 VC Actor,4 Trait,4 Preference,4 Disaggregation,4 Statistic,5 Crop,5 Location,5 VC Actor,5 Trait,5 Preference,5 Disaggregation,5 Statistic,6 Crop,6 Location,6 VC Actor,6 Trait,6 Preference,6 Disaggregation,6 Statistic,7 Crop,7 Location,7 VC Actor,7 Trait,7 Preference,7 Disaggregation,7 Statistic,8 Crop,8 Location,8 VC Actor,8 Trait,8 Preference,8 Disaggregation,8 Statistic,9 Crop,9 Location,9 VC Actor,9 Trait,9 Preference,9 Disaggregation,9 Statistic,10 Crop,10 Location,10 VC Actor,10 Trait,10 Preference,10 Disaggregation,10 Statistic,Disaggregating variables,Explanation for any disaggregation,Key findings
1489,Bernardo 2019,Impact of extruded sorghum genotypes on the rehydration and sensory properties of soluble beverages and the Brazilian consumers' perception of sorghum and cereal beverage using word association.,Consensus,10.1016/j.jcs.2019.102793,Impact of extruded sorghum genotypes on the rehydration and sensory properties of soluble beverages and the Brazilian consumers’ perception of sorghum and cereal beverage using word association,Journal of Cereal Science,22 June 2019,Research article,Brazil,"","evaluate the potential of whole grain sorghum as the raw material for the preparation of a beverage, using thermoplastic extrusion, suitable for Brazilians. Also, the study evaluated the most appropriate sorghum genotype to formulate a bev-erage reconstituted from an extruded sorghum powder, according to the sensory and rehydration characteristics",Rio de Janeiro,Sorghum,Mixed methods,"Survey/questionnaire; Hedonic scale; Sensory evaluation/taste testing; Other: Check-all-that-apply, Word association","William's Latin Square, Ward's aggregation criterion","ANOVA, Fisher Test, Cochran's Q, multiple factor analysis, hierarchical clustering from principal components, Pearson's correlation",R,108,Consumer,"Starch, protein, tannins, fiber, and/or fat; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)",Yes,Beverage,"",Sorghum,Brazil,Consumer,Solubility,High,"","",Sorghum,Brazil,Consumer,Tannins,low,"","",Sorghum,Brazil,Consumer,Flavor,"Popcorn/peanut, not rancid","","",Sorghum,Brazil,Consumer,Aroma,"Popcorn/peanut, not rancid","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","rehydration and sorghum color, observed by both physical and sensory analysis, were the most influential factor for sensory acceptance, followed by condensed tannin"
1482,Mofokeng 2016,Constraints and varietal trait preferences of sorghum producers in South Africa.,Consensus,"",Constraints and varietal trait preferences of sorghum producers in South Africa,Journal of Tropical Agriculture,2016,Research article,South Africa,2013-2014,"To determine sorghum production constraints, farmers' preferred traits and the profile of ideal sorghum varieties under smallholders farming systems in Limpopo Province.","Limpopo Province (Sekhukhune and Waterberg Districts; Municipalities: Fetakgomo, Makhuduthamaga, Tubatse, Lephalale)",Sorghum,Qualitative study,Interview; Focus group; Survey/questionnaire; Ranking,"","Cross tabulations, Chi-square analysis",SPSS,311,Farmer/grower,"Sensory (aroma, taste, appearance, etc.)",Yes,Food (porridge/ugali),"",Sorghum,South Africa,Farmers,Taste,Good taste,Location,Rank 1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Location/geography,"","Farmers from South Africa prefer good-tasting sorghum, especially for preparing porridge"
1411,Muui 2013,Identification and evaluation of sorghum (Sorghum bicolor(L.) Moench) germplasm from Eastern Kenya.,Consensus,10.5897/AJAR11.1519,Identification and evaluation of sorghum (Sorghum bicolor (L.) moench) germplasm from Eastern Kenya,African Journal of Agricultural Research,19 September 2013,Research article,Kenya,2010-2011,"To identify different sorghum landraces, establish traits preferred by farmers, determine seed sources, and classify variety types in Eastern Kenya.","Kitui, Makueni, Mbeere and Mutomo districts in eastern Kenya",Sorghum,Qualitative study,Observations; Not reported/uncertain,Munsel color charts used for seed color identification.,"Analysis of variance, least significant differences",SAS,"",Farmer/grower,"Color; Sensory (aroma, taste, appearance, etc.); Milling/processing quality",No,"fermented and unfermented porridge, ugali (thick porridge)","",Sorghum,Kenya,Farmer,taste,good,more preferred in Mbeere,40%,Sorghum,Kenya,Farmer,Clean ability,easy,Only preferred in Kitui,7% ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Location/geography,"",Farmers in Kenya prefer sorghum that is easy to clean and tastes good.
1387,Okot 2022,Diagnostic appraisal of the sorghum farming system and breeding priorities in Sierra Leone.,Consensus,10.3390/su14127025,Diagnostic Appraisal of the Sorghum Farming System and Breeding Priorities in Sierra Leone,sustainability,8 June 2022,Research article,Sierra Leone ,January - March 2019,"assess the sorghum farming system, sorghum production constraints, and farmers’ preferences for sorghum variety in Sierra Leone to guide breeding.","Bo, Bombali, Kambia, Kenema, Moyamba, Port Loko, and Tonkolili",Sorghum,Qualitative study,Interview; Focus group; Survey/questionnaire; Observations,"",Statistical analysis,SPSS,210,Farmer/grower,Color,No,brew,"",Sorghum,Sierra Leone ,Farmer/grower,grain color,White,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Farmers in Sierra Leone prefer white sorghum grain.
1300,Belavady 1984,Consumer acceptability of a few sorghum varieties released in Karnataka and varieties with special nutritional characteristics.,Consensus,"",Consumer Acceptability of a Few Sorghum Varieties Released in Karnataka and Varieties with Special Nutritional Characteristics,Indian Journal of Nutrition and Dietetics,November 1984,Research article,India,1982-1983,Evaluate consumer preferences of specific sorghum varieties and test the assumption that high yielding varieties are not grown for personal consumption,"Karnataka, Dharwad, Annigeri",Sorghum,Experimental study,Hedonic scale; Sensory evaluation/taste testing; Cooking quality test,"","Mean acceptability scores were calculated and compared across varieties and treatments. Analysis of variance (F-ratio, CD) was used to test varietal and treatment effects.",No/not reported,16,Consumer,"Color; Grain morphology (e.g. pericarp thickness); Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.); Storability",Yes,Roti,"",Sorghum,India,Consumers,Color,White,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Consumers prefer light colored grain and dislike red
1267,Kassa 2023,"Investigation of sorghum (Sorghum bicolor L.) variety preferences of farmers in the potential low land areas of North Shewa zone, Amhara region.",Consensus,10.24925/turjaf.v11i4.665-670.5416,"Investigation of Sorghum (Sorghum bicolor L.) Variety Preferences of Farmers in the Potential Low Land Areas of North Shewa Zone, Amhara Region",Turkish Journal of Agriculture - Food Science and Technology,2023,Research article,Ethiopia,2020,demonstrate the improved sorghum variety with its improved management practices and to assess farmers’ and extension workers’ reactions,"North Shewa Zone, Amhara Region Ethiopia",Sorghum,Qualitative study,Focus group; Participatory plant breeding,"","descriptive statistics, independent sample T- test",No/not reported,120,Farmer/grower,Size and shape; Color,Yes,Injera (traditional bread),"",Sorghum,Ethiopia,Farmer/grower,grain color,yellow,"","",Sorghum,Ethiopia,Farmer/grower,grain size,large,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Farmers in Ethiopia prefer sorghum grain that is large and yellow.
1249,VeerabhadrappaBellundagi 2017,Application of conjoint analysis for consumer preference evaluation of Ragi in Karnataka.,Consensus,10.5958/2322-0430.2017.00162.7,Application of conjoint analysis for consumer preference evaluation of Ragi in Karnataka,Indian Journal of Economics and Development,April 2017,Research article,India,2014-2015,"analyze the growth and instability, market competitiveness in production and value addition of Ragi. In this study willingness to accept and pay for the biotechnologically improved varieties by farmers as well as consumers will be estimated",Bengaluru and Vijayapura districts of Karnataka,Finger millet,Mixed methods,Interview; Market data analysis/hedonic pricing,"","additive conjoint analysis, Pearson's and Kendall's correlation ",No/not reported,120,Consumer; Chef/brewer/home cook,"Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)",No,"","",Finger millet,India,Consumer,Color,red,more important to urban than rural,"",Finger millet,India,Consumer/cook,Cooking time,Shorter,important for one district but not the other,"",Finger millet,India,Consumer,Taste,good,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Location/geography; Other: Urban/rural,majority of consumers belonged to low-income group in rural region,"Consumers in India prefer red, good-tasting ragi, which requires less cooking time. Data varied between rural and urban locations but generally led to the same results. "
1242,Adinsi 2014,Processing and quality attributes of gowe: a malted and fermented cereal-based beverage from Benin.,Consensus, 10.3362/2046-1887.2014.016,Processing and quality attributes of gowe: a malted and fermented cereal- based beverage from Benin,Food Chain,July 2014,Research article,Benin,"","Gather information on the processing techniques, consumption, and quality attributes of gowe through stakeholder knowledge and perception ","Zou and Collines, Benin",Sorghum,Qualitative study,Interview; Focus group; Survey/questionnaire,"",Descriptive statistics and multivariate analyses,"Other: Sphinx plus2, XLSTAT 2011","109 producers, 300 consumers",Consumer; Chef/brewer/home cook,"Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)",No,Gowe,"",Sorghum,Benin,Chef/brewer/home cook,Color,Red,"",81% mentioned,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Gowe producers prefer red sorghum varieties because consumers prefer red gowe 
1163,Debrah 1996,On-farm experiments with sorghum to assess the acceptability of new varieties and herbicide treatments.,Consensus,10.1017/S0014479700026120,On-Farm Experiments with Sorghum to Assess the Acceptability of New Varieties and Herbicide Treatments,Experimental Agriculture,1996,Research article,Mali,1990-1993,"farmer participatory assessment of the processing and food qualities of
improved sorghum varieties","Nankilabougou, Siramana, Garasso and Dibaro",Sorghum,Experimental study,Ranking; Sensory evaluation/taste testing; Cooking quality test,"","descriptive statistics, kendalls concordance statistic ",No/not reported,"24 processors, 72 consumers",Consumer; Processor/miller; Chef/brewer/home cook,"Grain morphology (e.g. pericarp thickness); Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.); Storability",Yes,To,"",Sorghum,Mali,Processor,vitreousness (dehulling loss),low,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Mali processors prefer Sorghum with low vitreousness Scores because the dehulling  loss is low.
1143,AdugnaAbdi 2005,"In situ(on-farm) conservation dynamics and the patterns of uses of sorghum (Sorghum bicolor(L.) Moench) landraces in North Shewa and South Welo, central highlands of Ethiopia.",Consensus,10.4314/ejbs.v4i2.39021,"In-situ (on-farm) conservation dynamics and the patterns of uses of sorghum (Sorghum bicolar(L.) Moech landraces in North Shewa and South Welo, Ethiopia",Ethiopian Journal of Biological Sciences,2005,Research article,Ethiopia,1999-2000; 2003-2004,This study aimed to investigate the in-situ (on-farm) conservation dynamics and utilization patterns of sorghum landraces in specific regions of Ethiopia.,"North Shewa, South Welo",Sorghum,Qualitative study,Interview,Shannon–Weaver Diversity Index; Simpson's Diversity Index ; Use-Value Index,"Use Value Index, Shannon-Weaver diversity Index, Simpson diversity index, ANOVA, Regression Analysis",Other: MINITAB,30,Farmer/grower,"Starch, protein, tannins, fiber, and/or fat; Digestibility; Milling/processing quality; End-use quality (baking, malting, etc.); Storability",Yes,"Injera, Porridge, Bread, Malting, Medicine","",Sorghum,Ethiopia,Farmer,milling quality,good,"","",Sorghum,Ethiopia,Farmer,fermentative ability for beer,good,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",This study indicates that landraces that have been conserved on-farm by farmers are very diverse and their multipurpose nature is striking and hence need to be included in landrace enhancement and crop breeding programs
1142,Ega 1992,Acceptability of improved varieties of sorghum for consumption in northern Nigeria.,Consensus,"","Acceptability of improved varieties of sorghum for consumption in northern Nigeria","Food and Nutrition Bulletin, Food Science ",1992,Research article,Nigeria ,"","whether several new sorghum of varieties that  have been found to have high agronomic performance are acceptable for consumption by using them in two foods commonly prepared from Sorghum","Zaria, Nigeria",Sorghum,Experimental study,Sensory evaluation/taste testing; Cooking quality test,"","",No/not reported,41 (28 (for sensory evalutions) ; 13 (tasters)),Farmer/grower; Consumer; Chef/brewer/home cook,"Color; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.); Storability",Yes,Kamu and Tuwo (Porridge),"",Sorghum,Nigeria,Consumer,Color,White,"","",Sorghum,Nigeria,Consumer,Endosperm texture,floury,"","",Sorghum,Nigeria,Chef/brewer/home cook,Storability ,grain that retains its moisture ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","Consumers in Nigeria preferred white, yellow, or cream-coloured and floury or floury-flint grains. "
1140,Makhwaje 1996,On-farm testing of prereleased sorghum varieties in Botswana.,Consensus,"",On- Farm Testing of Prereleased Sorghum Varieties in Botswana,ICRISAT,1996,Conference proceedings,Botswana,1992-1994,Evaluate prereleased sorghum varieties on yield and farmer-perception.,"Central, North East, and Southern Botswana",Sorghum,"",Sensory evaluation/taste testing; Willingness to pay,"",aggregation of farmer responses from perception tests,No/not reported,48,Farmer/grower; Consumer,"Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)",Yes,"porridge, beer","",Sorghum,Botswana,Farmer,grain color,White grain is preferred for porridge over red grain,"","",Sorghum,Botswana,Farmer,taste,not bitter,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Sorghum farmers in Botswana prefer white grains that don't produce bitter porridge.
1128,Ramasamy 2000,"Improved cultivars of pearl millet in Tamil Nadu: adoption, impact, and returns to research investment.",Consensus,"","Perceptions and Adoption Decisions of Farmers in Cultivation of Improved Pearl Millet 
CuItivars - A Study in Tamil Nadu",Indian Journal of Agricultural Economics,April 1999,Research article,India,1996-1997,measure the scale of adoption and varietal composition of ICs of pearl millet in Tamil Nadu and identify the determinants of adoption of ICs of pearl millet and to quantify their influence,28 villages in Tamil Nadu,Pearl millet,Qualitative study,Focus group; Survey/questionnaire; Participatory plant breeding,"","Percentage analysis, Tobit model",No/not reported,448,Farmer/grower; Consumer,"Size and shape; Sensory (aroma, taste, appearance, etc.)",Yes,"","",Pearl Millet,India,Farmer,Size,bold,"","",Pearl Millet,India,Farmer,taste,good,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Farmers in India prefer bold and good tasting pearl millet
1099,Lubadde 2016,Production determinants of the pearl millet cropping system in Uganda and implications to productivity.,Consensus,10.5539/jas.v8n7p97,Production Determinants of the Pearl Millet Cropping System in Uganda and Implications to Productivity,Journal of Agricultural Science ,"June 15, 2016",Research article,Uganda,January 2012," 1) establishing the importance and utilisation of pearl millet, 2) assessing the extent to which improved inputs and improved technologies were used to increase productivity, 3) highlighting the 
agronomic factors, 4) identifying farmers’ desirable and undesirable, 5) establishing production and marketing constraints and 6) identifying the most important determinants of production.",Eastern (Kumi) and Northern (Kitgum) regions ,Pearl millet,Qualitative study,"Interview; Survey/questionnaire; Ranking; Observations; Other: Problem listing, transect walks",Farmer recall and prediction methods,descriptive statistics ,SPSS,140 households,Farmer/grower; Consumer; Chef/brewer/home cook,Size and shape; Color,No,"","",Pearl Millet,Uganda,Farmer/growers,Grain size,Big/large seeds,"",3.1,Pearl Millet,Uganda,Farmers/growers,Grain color,White/gray seeds,"",3.79,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Farmers in Uganda prefer large white/gray pearl millet grains
1095,Pale 2010,Sorghum malt and traditional beer (dolo) quality assessment in Burkina Faso.,Consensus,10.1080/03670241003697573,Sorghum Malt and Traditional Beer (Dolo) Quality Assessment in Burkina Faso,Ecology of Food and Nutrition,11 Mar 2010,Research article,Burkina Faso,"","identify the major criteria for assessing dolo and malt quality, and parameters affecting dolo and malt quality as perceived by processors and consumer","Central Plateau of Burkina Faso: Ouagadougou, Manga, Pouytenga, Mogtédo, Pabré and Kamboinsé ",Sorghum,Qualitative study,Survey/questionnaire,"","Chi-square tests, criteria mentioned by at least 50% of respondents judged as major criteria",SAS,240,Consumer; Processor/miller; Distribution/retailer/trader; Chef/brewer/home cook,"Size and shape; Color; Hardness; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.); Other: Germinative power",No,"Malting, Dolo production","",Sorghum,Burkina Faso,Processor/miller,germinative power,quickly germinate,"",40%,Sorghum,Burkina Faso,Processor/miller,grain color,bright red,"",29%,Sorghum,Burkina Faso,Processor/miller,grain size,large,"",20%,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","Red grain sorghum varieties are the most used for dolo production in the Central Plateau of Burkina Faso, but results indicated that grain color was not perceived as being a major parameter affecting malt quality, in contrast to being a major factor that guides processors’ choice when purchasing grain for dolo production. "
1094,Kalema 2022,Mapping out market drivers of improved variety seed use: the case of sorghum in Tanzania.,Consensus,10.1016/j.heliyon.2022.e08715,Mapping out market drivers of improved variety seed use: the case of sorghum in Tanzania,Heliyon,2022,Research article,"Tanzania, also Kenya, Burundi, Rwanda, and Uganda","",To identify drivers that persuade Tanzanian farmers to use improved variety seeds for grain production.,"Mkalama, Singida DC, Iramba, Ikungi, Serengeti, Rombo, Momba, Nkas, Kongwa, and Tarime Districts in Tanzania",Sorghum,Qualitative study,Interview; Focus group; Survey/questionnaire,"","Descriptive analysis, Binary Logistic model, Probit model and gross margin analysis",SPSS; Stata,212,Farmer/grower; Distribution/retailer/trader,Color,No,"porridge, flour, and breweries","",Sorghum,Tanzania,Traders,Grain color,White and red,"","",Sorghum,Kenya,Traders,Grain color,White,"",86.0,Sorghum,Burundi,Traders,Grain color,Red,"",100,Sorghum,Uganda,Traders,Grain color,White,"",80.0,Sorghum,Rwanda,Traders,Grain color,Red,"",72.7,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Location/geography,"","Grain traders in Tanzania generally prefer white grains with red grains being second place over tan grains. However, red grains are most preferred in the Lake zone as well as neighboring Burundi and Rwanda. Kenya and Uganda prefer white grains as well."
1086,Sajjanar 2010,Testing sorghum varieties of northern dry zone of Karnataka for flaking.,Consensus,"",Testing sorghum varieties of northern dry zone of Karnataka for flaking ,Asian Journal of Home Science ,June 2010,Research article,India,2005-2006,To test some of the special sorghum varieties for flaking ,Atharga Village; Northern Dry Zone of Karnataka,Sorghum,Experimental study,Hedonic scale; Sensory evaluation/taste testing,"","",No/not reported,25,Consumer,"Size and shape; Starch, protein, tannins, fiber, and/or fat; Color; Grain morphology (e.g. pericarp thickness); Milling/processing quality",Yes,"Flaking and Commercial Exploitation, Traditional Food Preparations,Consumer Snacks","",Sorghum,India,Consumer,Color,red is preferred over white,"","",Sorghum,India,Consumer ,Starch,high gelatinization property of the starch is preferred to make uniform elliptical shaped flakes ,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","to make flakes from sorghum, a red color and high gelatinization from starch are preferred "
1060,Dossou-Aminon 2014,"Diversity, genetic erosion and farmer's preference of sorghum varieties [Sorghum bicolor(L.) Moench] in North-eastern Benin.",Consensus,10.1016/j.heliyon.2025.e42378,"Diversity, genetic erosion and farmer’s preference of sorghum varieties [Sorghum bicolor (L.) Moench] in North-Eastern Benin",International Journal of Current Microbiology and Applied Sciences ,November 10th 2014,Research article,Benin,"","prioritize constraints associated with sorghum production in the north east of Benin ; assess the diversity, distribution, and extent of cultivated varieties ; document farmers' varieties preference criteria for use in breeding and extension programs ; evaluate, in participatory way, existing varieties for their agronomic, culinary, and technological characteristics ","Borgou, Alibori",Sorghum,Qualitative study,Interview; Focus group; Survey/questionnaire; Participatory plant breeding,Four cell Analysis,"Shannon-Weaver diversity index, descriptive statistics, rate of varietal loss, dendrogram, cluster analysis, Pearson coefficients",SAS; Other: STATISTICA,"300-600 total, 15 villages",Farmer/grower,"Size and shape; Color; Milling/processing quality; End-use quality (baking, malting, etc.)",Yes,"dough, porridge, tchoukoutou (beer)","",Sorghum,Benin,Farmer/grower,grain color,red,location (Agramarou and Djega) and intended for market,"",Sorghum,Benin,Farmer/grower,beverage suitibility,high,"location, Mokole ranks it 3, Bariba 8","",Sorghum,Benin,Farmer/grower,flour yield,high,"location, Boo ranks 3, Bariba ranks 10 for importance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Gender; Location/geography,Access to markets and other countries,"Farmers in Benin put different weight on trait importance, but generally prefer grain that results in high flour yield and good beer."
1058,Songre-Ouattara 2016,What varieties of sorghum meet the demands of producers of malt and dolo in Burkina Faso.,Consensus,10.4314/jab.v106i1.9,"Quelles variétés de sorgho pour satisfaire les 
exigences des productrices de malt et de dolo au 
Burkina Faso?",Journal of Applied Biosciences,31st October 2016,Research article,Burkina Faso,May and June 2015,The primary objective of this study was to identify the specific types and characteristics of sorghum grains that are preferred by processors. This identification aims to facilitate the production of high-quality sorghum malt and/or the traditional sorghum beer known as dolo,"Kadiogo, Kouritenga, and Mouhoun provinces of Burkina Faso",Sorghum,Qualitative study,Survey/questionnaire,"",Chi^2 tests,Other: Sphinx,210,Chef/brewer/home cook,"Size and shape; Color; Hardness; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)",No,"","",Sorghum,Burkina Faso,Brewer,Color,Red,"",72.5% use red over white,Sorghum,Burkina Faso,Brewer,Hardness,Hard,Location,17% of respondents said that a hard grain was their first priority (Sat at ~20% for Kouritenga and Mouhoun and ~5% for Kadiogo),Sorghum,Burkina Faso,Brewer,Weight,Light (Kadiogo province) vs. Heavy (Kouritenga),Location,~6% for heavy vs. ~1% for light (all for light were from Kadiogo province vs. all for Heavy from Kouritenga),Sorghum,Burkina Faso,Brewer,Malting quality,Good germination,Location,42% said this was the priority (This was the greatest priority in Kadiogo (60%) and Mouhoun (~42%) and the second most in Kouritenga (~28%) after red grain.),Sorghum,Burkina Faso,Brewer,Color,Red,Location,22% prioritize red vs. ~1% for white (Red was prioritized by 15-35% from every province. Only Kadiogo had 10% preferring white),Sorghum,Burkina Faso,Brewer,Taste,Sweet,Location,"~3% prioritize sweet grain (mostly from Kouitenga, some from Mouhoun)",Sorghum,Burkina Faso,Brewer,Odor,Odorless,Location,~5% prioritize odorless grains (all from Mouhoun),Sorghum,Burkina Faso,Brewer,Size,Large,"",~2% for large grains (all from Kouritenga),"","","","","","","","","","","","","","",Location/geography,"","There is a lot of variation between regions among female brewers/malters in Burkina Faso but red, hard, and consistently-germinating grains are generally most preferred."
1057,Muui 2013,Participatory identification and evaluation of sorghum (Sorghum bicolor(L.) Moench) landraces from lower eastern Kenya.,Consensus,10.14303/irjas.2013.083 ,Participatory identification and evaluation of sorghum (Sorghum bicolor (L.) Moench) landraces from lower eastern Kenya ,International Research Journal of Agricultural Science and Soil Science,August 2013,Research article,Kenya,2010-2011,"identify different sorghum
landraces still kept by farmers in different agro ecological zones, establish the variability based on grain color, traits preferred and the grain use for each landrace","Kitui, Mbeere, Makueni and Mutomo ",Sorghum,Qualitative study,Survey/questionnaire,"","PROC GLIMMIX model, ANOVA, Least Significant Differences",SAS,120,Farmer/grower,"Color; Sensory (aroma, taste, appearance, etc.); Milling/processing quality",Yes,"Ugali, pilau, mathura, Porridge, brew, fermentation","",Sorghum,Kenya,Farmer,Color,"White, tan for porridge and baking","","",Sorghum,Kenya,Farmer,Color,Red and brown for porridge and brews,"","",Sorghum,Kenya,Farmer,Color,"Black, red, purple, pink and maroon are used for muthura and brews","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Location/geography,"",Farmers in Eastern Kenya have different color preferences for the sorghum that they use for different products like porridge or brewing
1045,Aboubacar 1999,Important sensory attributes affecting consumer acceptance of sorghum porridge in West Africa as related to quality tests.,Consensus,https://doi.org/10.1006/jcrs.1999.0283,Important Sensory Attributes Affecting Consumer Acceptance of Sorghum Porridge in West Africa as Related to Quality Tests,Journal of Cereal Science,1999,Research article,Niger,1990,"""to determine the most important sorghum porridge sensory quality attributes that affect consumer acceptance and to determine the best instrumental methods that could be used to predict consumer response to porridge quality""",Niger,Sorghum,Experimental study,Survey/questionnaire; Sensory evaluation/taste testing,"","ANOVA, least Significant difference, linear regression",SAS,57,Consumer,"Size and shape; Starch, protein, tannins, fiber, and/or fat; Color; Hardness; Sensory (aroma, taste, appearance, etc.)",Yes,Porridge,"",Sorghum,Niger,Consumer,Porridge stickiness,intense,"","",Sorghum,Niger,Consumer,Hardness,harder,"",r=0.69,Sorghum,Niger,Consumer,Color,lighter,"",r=0.94,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","The most important attributes were texture, taste and aroma. Color was less important. A wide range of colors were acceptable to consumers."
1027,Mwema 2016,"Harnessing opportunities for productivity enhancement for sorghum & millets (HOPE): baseline survey, Uganda.",Consensus,"","Harnessing Opportunities for Productivity Enhancement for Sorghum & Millets (HOPE): Baseline Survey, Uganda",ICRISAT (International Crops Research Institute for the Semi-Arid Tropics),15 May 2017,Other: Other: Working Paper,Uganda,April-May 2015,"The general objective of this survey is to provide a baseline against which to measure the 
impact of project activities on adoption of improved varieties, trait preferences, perceptions of production, and profitability of finger millet","Serere, Lira, Kole",Finger millet,Qualitative study,Survey/questionnaire; Ranking,"",The data was analyzed by descriptive statistics including cross-tabulation methods and ANOVA/Chi-square tests,SPSS,"190 (94 treatment households + 96 control households), 159 growers",Farmer/grower,"Size and shape; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)",Yes,"Home consumption, Home brewing","",Finger Millet,Uganda,"Farmer/grower
",Brewing quality,good,"",22%,Finger Millet,Uganda,"Farmer/grower
",flour quality,high,"",27%,Finger Millet,Uganda,"Farmer/grower
","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","Grain Quality Traits Included in farmer selection decisions:
Grain size: Mentioned by 36% of farmers (58 out of 159)
Color: Considered by 26% of farmers (42 out of 159)
Taste/aroma: Reported by 31% of farmers (50 out of 159)
High flour quality: Important to 27% of farmers (43 out of 159)
Good for brewing: Preferred by 22% of farmers (35 out of 159)"
1000,Rohrbach 2001,Testing the demand for sorghum meal in Tanzania: a case study with Power Foods.,Consensus,"",Testing the Demand for Sorghum Meal in Tanzania: a Case Study with Power Foods,"",2001,Case study,Tanzania,"",To determine consumer demand for sorghum meal in Tanzania,Dar es Salaam market,Sorghum,Qualitative study,Survey/questionnaire; Sensory evaluation/taste testing; Market data analysis/hedonic pricing,"","",No/not reported,"",Consumer,Color,Yes,sorghum meal,"",Sorghum,Tanzania,Consumers,Grain color,White,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Consumers in Tanzania prefer whiter sorghum varieties to be used for sorghum meal production.
