Covidence #,Study ID,Title,Reviewer Name,DOI,Title,Journal/Publisher,Publication Date,Publication Type,Country,Time of study,Objectives,Location(s),Crop(s) studied,Type of study,How were preferences determined?,List any specific scales or methods named,How was data analyzed?,Was a statistical software used?,Size of study/respondents,Value chain actors included,Grain quality traits included,Varieties listed/mentioned?,End uses mentioned,Detailed preferences discussed in the study:,1 Crop,1 Location,1 VC Actor,1 Trait,1 Preference,1 Disaggregation,1 Statistic,2 Crop,2 Location,2 VC Actor,2 Trait,2 Preference,2 Disaggregation,2 Statistic,3 Crop,3 Location,3 VC Actor,3 Trait,3 Preference,3 Disaggregation,3 Statistic,4 Crop,4 Location,4 VC Actor,4 Trait,4 Preference,4 Disaggregation,4 Statistic,5 Crop,5 Location,5 VC Actor,5 Trait,5 Preference,5 Disaggregation,5 Statistic,6 Crop,6 Location,6 VC Actor,6 Trait,6 Preference,6 Disaggregation,6 Statistic,7 Crop,7 Location,7 VC Actor,7 Trait,7 Preference,7 Disaggregation,7 Statistic,8 Crop,8 Location,8 VC Actor,8 Trait,8 Preference,8 Disaggregation,8 Statistic,9 Crop,9 Location,9 VC Actor,9 Trait,9 Preference,9 Disaggregation,9 Statistic,10 Crop,10 Location,10 VC Actor,10 Trait,10 Preference,10 Disaggregation,10 Statistic,Disaggregating variables,Explanation for any disaggregation,Key findings
3018,Mesfin 2022,Understanding sorghum farming system and its implication for future research strategies in humid agro-ecologies in Western Ethiopia,Consensus,10.1016/j.jafr.2022.100456,Understanding sorghum farming system and its implication for future research strategies in humid agro-ecologies in Western Ethiopia,Journal of Agriculture and Food Research ,November 18 2022 ,Research article,Ethiopia,2016,"identify the farmers’ preference for sorghum traits, production, marketing and utilization constraints in sorghum-based 
farming system using farming system approaches.","Western Ethiopia (Assosa Zone, Kamash Zone, and Mao-Komo Special woreda of Benishangul Gumuz Regional state); Districts: Assosa, Bambasi, Kamashi, Mao-Komo.",Sorghum,Mixed methods,Interview; Survey/questionnaire; Ranking; Other: data from other studies,Rank index (weighted ranking formula used).,"Descriptive statistics, Rank index, and Tobit econometric model.",No/not reported,145,Farmer/grower,"Size and shape; Starch, protein, tannins, fiber, and/or fat; Color; Milling/processing quality; End-use quality (baking, malting, etc.)",No,injera ; tella ; areke ; borde ; porridge ; kita ; popped & roasted sorghum ,"",Sorghum,Ethiopia,Farmer/grower,Color,creamy white,"","",Sorghum,Ethiopia,Farmer/grower,Size,large,"","",Sorghum,Ethiopia,Farmer/grower,Milling/processing quality,good water holding capacity ,"","",Sorghum,Ethiopia,Farmer/grower,tannins,"low tannin preferred for injera, high for beverage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","low tannin, creamy white grain, large seeds, and good water holding capacity are important preferences for farmers in ethiopia "
2729,Porcuna-Ferrer 2025,Crop biocultural traits and diversity dynamics among Bassari farmers,Consensus,https://doi.org/10.1007/s10460-025-10725-0,Crop biocultural traits and diversity dynamics among Bassari farmers,Agriculture and Human Values,February 19 2025,Research article,Senegal,2019-2021,"gain a deeper understanding of the biocultural 
traits that Bassari farmers associate to their crops and variet-
ies and to explore whether and how these traits are linked 
to local crop diversity dynamics.",Bassari villages in south-eastern Senegal,Sorghum; Fonio,Qualitative study,Interview; Survey/questionnaire,"",Wilcoxon tests,R,120,Farmer/grower,"Sensory (aroma, taste, appearance, etc.)",No,"","",Sorghum,Senegal,Farmer/grower,Color,red for beer,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","Varieties of sorghum were ranked differently across farmers for numerous important biocultural traits, such as organoleptic preference."
2716,SayedAbdelhalim 2025,Deciphering consumer perceptions of Kisra prepared from biofortified and non-biofortified sorghum cultivars using the rate-all-that-apply (RATA) method,Consensus,10.3389/fnut.2025.1563247,Deciphering consumer perceptions of Kisra prepared from biofortified and non-biofortified sorghum cultivars using the rate-all-that-apply (RATA) method,Frontiers in Nutrition,10 March 2025,Research article,Sudan,2023-2024,"evaluate the sensory attributes of Kisra, a traditional fermented flatbread made from the biofortified sorghum cultivar Dahab and its blends with other Sudanese cultivars.","Wad Dayief Village in the Eastern Galabat locality of Al-Gadareif State, Eastern Sudan",Sorghum,Mixed methods,Interview; Survey/questionnaire; Hedonic scale; Sensory evaluation/taste testing; Other: rate-all-that-apply,Rate-all-that-apply (RATA) method - Assessors rated the intensity of relevant terms using a 5-point intensity scale ,"ANOVA, Turkey's pairwise, PCA, Ward's Hierarchical Cluster Analysis",Other: XLSTAT,"100 RATA, 25 attribute makers ",Consumer,"Micronutrients; Color; Hardness; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)",Yes,Kisra,"",Sorghum	,Sudan,Consumer,Color,red,"","",Sorghum,Sudan,Consumer,taste,Souness preferred,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Age; Education,low education had less exposure and had more generalizable preferences,Sorghum consumers in Sudan prefer reddish grain with sour taste.
2681,Hamid 2025,"Sensory evaluation and consumer acceptance of Kisra, a sudanese fermented flatbread made with biofortified sorghum: Insights from check-all-that-apply (CATA) method",Consensus,10.1016/j.afres.2025.100920,"Sensory evaluation and consumer acceptance of Kisra, a sudanese 
fermented flatbread made with biofortified sorghum: Insights from 
check-all-that-apply (CATA) method ",Applied Food Research,28 April 2025,Research article,Sudan,2023-2024,"To evaluate preferences in sorghum varieties for traditional bread-making. A particular emphasis is placed on determining if a biofortified variety, Dahab, fits consumer criteria.",Al-Gadareif,Sorghum,Qualitative study,Hedonic scale; Sensory evaluation/taste testing; Other: Check-all-that-apply tests,9-point Likert scale,"CATATIS, CLUSCATA, ANOVA, Tukey test, Euclidean distances and Ward’s hierarchical cluster analysis, post-hoc Pairwise comparison, Correspondence analysis, PCOA, Penalty lift analysis",Other: XLSTAT,102,Consumer,"Micronutrients; Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)",Yes,Kisra (a traditional fermented bread),"",Sorghum,Sudan,Consumer,pericarp color,non-red,"","",Sorghum,Sudan,Consumer,taste,"Sweet, not bitter","","",Sorghum,Sudan,Consumer,grain color,yellow,"","",Sorghum,Sudan,Consumer,texture,"fine, smooth ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Gender; Age; Education,"","Sorghum grain in Sudan preferred by consumers for its sweet taste, smooth texture, lightness, and porousness. The bio fortified variety was well Accepted because of sensory properties."
2354,Obilana 1998,Sorghum Improvement,Consensus,"",Sorghum Improvement,ISMN,1998,Other: newsletter,"Angola, Botswana, Lesotho, Malawi, Mozambique, Namibia, South Africa, Swaziland, Tanzania, Zambia, and Zimbabwe ",1983-1998,"Facilitate the transfer of improved cultivate to farmers through national research and extension systems (NARES) and linkages with NGOs, advanced institutions, and the private sector; Evaluate grain quality for various end uses; Stengthen the capacity of NARS sorghum staff in
crop improvement and utilization through in-country and regional training, joint workplans, and collaborative research","Zimbabwe, Matopos, and Lucydale ",Sorghum; Pearl millet,Mixed methods,Participatory plant breeding,Diverse Germplasm Observation Nursery,"",No/not reported,"",Farmer/grower,"Size and shape; Color; Hardness; End-use quality (baking, malting, etc.)",Yes,"beer, food","",Sorghum,Zimbabwe,Farmer,Size,medium-large,"",350 responses of large grain size as a positive trait,"Sorghum, pearl millet",Zimbabwe,Farmer,Color,"red for beer, white for food","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","Farmers in Zimbabwe prefer large grain that is red for beer, white for food."
2315,Dawud 2017,"Farmers’ Production Constraints, Knowledge of Striga and Preferred Traits of Pearl Millet in Jigawa State, Nigeria",Consensus,"","Farmers’ Production Constraints, Knowledge of Striga and Preferred Traits of Pearl Millet in Jigawa State, Nigeria ",Global Journal of Science Frontier Research: D Agriculture and Veterinary ,2017,Research article,Nigeria,"",Assess farmers’ pearl millet preferred traits and determine farmers’ production constraints in pearl millet,"Jigawa State (Madobi, Kudai, Karfawa, Shuwarin, Kantoga, Kafingana)",Pearl millet,Qualitative study,Interview; Focus group; Survey/questionnaire; Ranking,"",data was coded ,SPSS,143,Farmer/grower,"Size and shape; Color; Hardness; Sensory (aroma, taste, appearance, etc.); Milling/processing quality; End-use quality (baking, malting, etc.); Storability",No,food and beer,"",Pearl Millet,Nigeria,Farmer/grower,color,grey,"","",Pearl Millet,Nigeria,Farmer/grower,grain size,bold,"","",Pearl Millet,Nigeria,Farmer/grower,shattering,tolerant,"","",Pearl Millet,Nigeria,Farmer/grower,beverage quality,good,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","Farmers in Nigeria prefer pearl millet that grey and bold, has shattering tolerance, and makes a good local beverage."
2273,Tabo 1999,Participatory Evaluation of Pearl Millet Cultivars in Northern Nigeria,Consensus,"",Participatory Evaluation of Pearl Millet Cultivars in Northern Nigeria,"",1999,Other: Newsletter,Nigeria,1996,"introduce this promising variety to farmers in northern Nigeria, assess its performance, its acceptability to farmers, and the. costs of production in the region","Jigawa, Kano, Katsina",Pearl millet,Experimental study,Participatory plant breeding,"","",No/not reported,34,Farmer/grower,"Size and shape; Color; Sensory (aroma, taste, appearance, etc.)",Yes,Food,"",Pearl millet,Nigeria,Farmers,grain size,large,"","",Pearl millet,Nigeria,Farmers,grain color,bright,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"",Farmers in northern Nigeria prefer bright and large pearl millet grains
2251,Birol 2011,"A latent class approach to investigating farmer demand for biofortified staple food crops in developing countries: The case of high-iron pearl millet in Maharashtra, India",Consensus,"","A Latent Class Approach to Investigating Farmer Demand for Biofortified Staple Food Crops in Developing Countries: The Case of High-Iron Pearl Millet in Maharashtra, India",HarvestPlus,October 2011,Other: Working paper,India,2010,investigate farm households’ valuation of a high-iron pearl millet variety,"Maharashtra, Pune, Solapur, Aurangabad ",Pearl millet,Experimental study,Choice experiment; Willingness to pay,"","latent class model, orthogonalization",No/not reported,630 households,Farmer/grower; Consumer,Micronutrients; Color,No,Roti,"",Pearl Millet,India,"Farmer /grower, consumer",Roti Color,"light and medium colored for smaller households, darker colored for larger households",household size,Coefficient for medium colored roti: 0.684 vs -0.095 ,Pearl Millet,India,"Farmer /grower, consumer",Iron,Higher iron,Farm and household size,"Coefficient for large house hold small scale is 2.985, large scale is 0.358, and small house small scale is 0.762","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",Household size; Location/geography; Farm size,"function of pearl millet sellers’ inability to capture a price premium in the 
pearl millet wholesale market (mandi) where there is no product differentiation due to the invisibility of several pearl millet consumption characteristics. ",Large household prefer more consumption related traits than moderate sized households who sell most of their grain.
2249,Mubiru 2020,Sensory evaluation of finger millet and bean products in Hoima Uganda. Report of field work conducted 6-12 September 2019,Consensus,"",Sensory Evaluation of Finger Millet and Bean Products in Hoima Uganda Report of Field Work conducted 6-12 September 2019,The Alliance of Bioversity International and the International Center for Tropical Agriculture (CIAT),21 April 2020,Report,Uganda,January 2018 - December 2020,"to conduct sensory evaluation for 
culinary and organoleptic attributes on  prioritized PGRFA varieties that are important food security 
crops in Uganda. ","Hoima: Kibaire, Kasinina, Kiranga, Kyamongi, Nyakaihura, Katikara, Mparangasi and Nyakakonge",Finger millet,Mixed methods,Focus group; Hedonic scale; Sensory evaluation/taste testing,5 point Likert scale ,"",No/not reported,101,Farmer/grower,"Color; Sensory (aroma, taste, appearance, etc.); End-use quality (baking, malting, etc.)",Yes,"Malwa (beverage), Kwete (beverage), porridge, Kalo (bread), Obushera (beverage)","",Finger millet,Uganda,"Farmer, Consumer",taste,Sweet,"","",Finger millet,Uganda,"Farmer, Consumer",aroma,pleasant,"","",Finger millet,Uganda,"Farmer, Consumer",food elasticity,good,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",None reported,"","Farmers in Uganda prefer finger millet that results in food that is sweet, has pleasant aroma, and good elasticity."
2239,Yila 2024,Trait preferences of sorghum and pearl millet value chain actors in Mali and Burkina Faso: a case for gender- responsive and demand-driven breeding,Consensus,10.3389/fsufs.2024.1239433,"Trait preferences of sorghum and pearl millet value chain actors in 
Mali and Burkina Faso: a case for gender- responsive and demand-driven breeding",Frontiers in Sustainable Food Systems,14 June 2024,Research article,"Mali, Burkina Faso","","identify and map the sorghum and pearl millet value chain actors, examine the desired traits of the actors, and facilitate how their preferences can inform the co-development of gender-responsive and market-driven sorghum and pearl millet product profiles.","Mali: Dioila (region of Koulikoro), Kati (region of Koulikoro), Kouliala (region of Sikasso), and Tominian (region of Segou). 
Burkina Faso: districts of Kombissiri and Manga in the region of Centresud; districts of Ziniare and Zitenga in the region of Plateau-Central; districts of Sabou and Kindi in the region of Centre-Ouest. ",Sorghum; Pearl millet,Mixed methods,Interview; Focus group; Survey/questionnaire; Case study,"","",No/not reported,1324,Farmer/grower; Consumer; Processor/miller; Distribution/retailer/trader; Chef/brewer/home cook,Size and shape; Color; Hardness; Milling/processing quality,Yes,semolina,"","Sorghum, Pearl millet",Mali,"Trader, consumers",grain size,large,does not matter to traders in Burkina Faso,"",Pearl millet,Mali,"processors, traders, consumers",grinding ability,easy,"less important for processors in Burkina Faso
In Mali: female traders and consumers prefer more, male processors prefer more than female processors","","Sorghum, Pearl millet",Mali,"Consumers, traders",taste,good,"not important in Burkina Faso, more important to women in Mali","","Sorghum, Pearl millet",Mali,trader,grain color,white,less important in Burkina Faso,"","Sorghum, Pearl millet",Mali,"processors, consumers",food yield,high,More important to men in Mali except female consumers of pearl millet,"",Sorghum,Mali,Processors,flour yield,good,more important to men,"",Sorghum,Mali,Processors,grinding ability,easy,"More important to male processors in Mali, Burkina Faso less important","","","","","","","","","","","","","","","","","","","","","","",Gender; Location/geography; Value chain position,"Sorghum is highly desired and more consumed as food in Mali, which may explain why traits associated with food and grain quality and products are more preferred than in Burkina Faso.","women along the sorghum and millet value chains were slightly more likely to prefer end-product qualities such as grain quality, storability, food yield, and consistency. In both countries, women and men desire similar qualities in sorghum and pearl millet varieties."
