"variable","standard"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","hardness or consistency"
"Preference","soft consistency when cooked"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","hardness or consistency"
"Preference","soft consistency when cooked"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","hardness or consistency"
"Preference","soft consistency when cooked"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","hardness or consistency"
"Preference","soft consistency when cooked"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","hardness or consistency"
"Preference","soft consistency when cooked"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","hardness or consistency"
"Preference","soft consistency when cooked"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","hardness or consistency"
"Preference","soft consistency when cooked"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","hardness or consistency"
"Preference","soft consistency when cooked"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","hardness or consistency"
"Preference","soft consistency when cooked"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","hardness or consistency"
"Preference","soft consistency when cooked"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","hardness or consistency"
"Preference","soft consistency when cooked"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","hardness or consistency"
"Preference","soft consistency when cooked"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","hardness or consistency"
"Preference","soft consistency when cooked"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","hardness or consistency"
"Preference","soft consistency when cooked"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","hardness or consistency"
"Preference","soft consistency when cooked"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","Color"
"Preference","pale"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","Color"
"Preference","pale"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","Color"
"Preference","pale"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","Color"
"Preference","pale"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","Color"
"Preference","pale"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","Color"
"Preference","pale"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","Color"
"Preference","pale"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","Color"
"Preference","pale"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","Color"
"Preference","pale"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","Color"
"Preference","pale"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","Color"
"Preference","pale"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","Color"
"Preference","pale"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","Color"
"Preference","pale"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","Color"
"Preference","pale"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","Color"
"Preference","pale"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","Color"
"Preference","pale"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","Color"
"Preference","pale"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","Color"
"Preference","pale"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","Color"
"Preference","pale"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","Color"
"Preference","pale"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","Color"
"Preference","pale"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","Color"
"Preference","pale"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","Color"
"Preference","pale"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","Color"
"Preference","pale"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","Color"
"Preference","pale"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","Color"
"Preference","pale"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","Color"
"Preference","pale"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","Color"
"Preference","pale"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","Color"
"Preference","pale"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","Color"
"Preference","pale"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","taste"
"Preference","sweet"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","taste"
"Preference","sweet"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","taste"
"Preference","sweet"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","taste"
"Preference","sweet"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","taste"
"Preference","sweet"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","taste"
"Preference","sweet"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","taste"
"Preference","sweet"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","taste"
"Preference","sweet"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","taste"
"Preference","sweet"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","taste"
"Preference","sweet"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","taste"
"Preference","sweet"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","taste"
"Preference","sweet"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","taste"
"Preference","sweet"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","taste"
"Preference","sweet"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","taste"
"Preference","sweet"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","taste"
"Preference","sweet"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","taste"
"Preference","sweet"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","taste"
"Preference","sweet"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","taste"
"Preference","sweet"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","taste"
"Preference","sweet"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","taste"
"Preference","sweet"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","taste"
"Preference","sweet"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","taste"
"Preference","sweet"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","taste"
"Preference","sweet"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","taste"
"Preference","sweet"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","taste"
"Preference","sweet"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","taste"
"Preference","sweet"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","taste"
"Preference","sweet"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","taste"
"Preference","sweet"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Cook"
"Trait","taste"
"Preference","sweet"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","size"
"Preference","smaller"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","size"
"Preference","smaller"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","size"
"Preference","smaller"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","size"
"Preference","smaller"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","size"
"Preference","smaller"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","size"
"Preference","smaller"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","size"
"Preference","smaller"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","size"
"Preference","smaller"
"Methods","Sensory evaluation/taste testing"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","size"
"Preference","smaller"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Consumers"
"Trait","size"
"Preference","smaller"
"Methods","Observations"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","size"
"Preference","smaller"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","size"
"Preference","smaller"
"Methods","Interview"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","size"
"Preference","smaller"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","size"
"Preference","smaller"
"Methods","Focus group"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","Other: XLSTAT"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","size"
"Preference","smaller"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
"Software","SPSS"
"Country","Mali"
"Crop","Fonio"
"VC Actor","Processors"
"Trait","size"
"Preference","smaller"
"Methods","Survey/questionnaire"
"Analysis","two-way variance analysis ; PCA ; HCA ; ANOVA ; Newman-Kuels"
"Publication Type","Dissertation/thesis"
"Type of study","Mixed methods"
