"pattern","canonical"
"research article|journal article","Research article"
"^book$","Book"
"conference proceedings","Conference proceedings"
"dissertation|thesis","Dissertation/Thesis"
"newsletter","Newsletter"
"working paper","Working paper"
"^poster$","Poster"
"^report$","Report"
"case study","Case study"
