"pattern","canonical"
"pearl","Pearl Millet"
"finger","Finger Millet"
"kodo","Kodo Millet"
"barnyard","Barnyard Millet"
"little","Little Millet"
"fox","Foxtail Millet"
"fonio","Fonio"
"^sorghum$","Sorghum"
