"pattern","canonical"
"farm|grower","Farmer/grower"
"cons","Consumer"
"chef|home cook|cook","Chef/home cook"
"brewer","Brewer"
"process|miller","Processor/miller"
"trade","Traders"
"producer|starch","Producer"
